transaction_id,customer_id,age,gender,loyalty_member,product_type,sku,rating,order_status,payment_method,total_price,unit_price,quantity,purchase_date,shipping_type,add_ons_purchased,add_on_total,revenue
16,1014,73,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,2024-01-02,Standard,Add ons,69.31,5138.29
17,1014,73,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,2024-05-18,Standard,Add ons,8.3,4755.4400000000005
18,1015,22,Male,No,Smartphone,SKU1001,5,Completed,PayPal,83.0,20.75,4,2024-09-02,Standard,Add ons,80.0,163.0
19,1016,61,Male,Yes,Smartphone,SKU1001,5,Completed,PayPal,103.75,20.75,5,2024-07-07,Overnight,No Add ons,0.0,103.75
20,1018,34,Male,No,Smartphone,SKU1001,5,Completed,PayPal,124.5,20.75,6,2024-07-23,Express,Add ons,70.39,194.89
21,1019,45,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83.0,20.75,4,2024-03-14,Express,No Add ons,0.0,83.0
22,1019,45,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,2024-04-20,Express,Add ons,37.87,1025.99
23,1019,45,Male,Yes,Smartwatch,SKU1003,3,Cancelled,PayPal,844.83,844.83,1,2024-07-21,Express,Add ons,49.17,894.0
24,1020,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,2023-12-02,Express,Add ons,37.13,3416.4500000000003
25,1021,71,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,2024-03-20,Overnight,Add ons,49.54,894.37
26,1022,76,Female,No,Smartwatch,SKU1003,3,Cancelled,PayPal,6758.64,844.83,8,2024-04-27,Overnight,Add ons,73.49,6832.13
27,1024,49,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,2024-07-10,Overnight,Add ons,51.93,1634.3100000000002
28,1025,77,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,2024-01-29,Overnight,No Add ons,0.0,2783.76
29,1025,77,Male,No,Smartphone,SKU1001,5,Completed,Cash,83.0,20.75,4,2024-08-28,Express,Add ons,77.78,160.78
30,1027,22,Male,No,Smartphone,SKU1004,2,Completed,PayPal,4747.14,791.19,6,2023-11-28,Overnight,No Add ons,0.0,4747.14
31,1028,79,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,2023-11-30,Overnight,No Add ons,0.0,6758.64
32,1030,69,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,2024-02-27,Express,Add ons,46.03,4270.179999999999
33,1031,20,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,2024-01-21,Express,No Add ons,0.0,5913.81
34,1031,20,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,103.75,20.75,5,2024-09-03,Overnight,Add ons,17.79,121.53999999999999
35,1033,54,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,2023-11-30,Overnight,No Add ons,0.0,988.12
36,1033,54,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,3164.76,791.19,4,2024-01-12,Standard,Add ons,49.24,3214.0
37,1035,32,Female,No,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,2023-09-24,Standard,No Add ons,0.0,186.75
38,1035,32,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,62.25,20.75,3,2024-03-25,Standard,Add ons,33.56,95.81
39,1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,Debit Card,3955.95,791.19,5,2023-10-12,Standard,Add ons,56.62,4012.5699999999997
40,1036,60,Male,Yes,Smartphone,SKU1004,2,Cancelled,PayPal,791.19,791.19,1,2024-01-28,Express,No Add ons,0.0,791.19
41,1038,56,Female,No,Smartwatch,SKU1003,3,Completed,PayPal,4224.15,844.83,5,2024-07-08,Overnight,Add ons,10.0,4234.15
42,1038,56,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,5068.98,844.83,6,2024-07-29,Standard,No Add ons,0.0,5068.98
43,1038,56,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,145.25,20.75,7,2024-08-17,Express,Add ons,47.94,193.19
44,1038,56,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,2024-09-23,Overnight,Add ons,26.01,5564.34
45,1039,53,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1729.21,247.03,7,2024-08-31,Standard,No Add ons,0.0,1729.21
46,1040,45,Female,Yes,Smartphone,SKU1004,2,Completed,Credit Card,6329.52,791.19,8,2023-10-16,Standard,Add ons,92.79,6422.31
47,1042,65,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,145.25,20.75,7,2024-06-26,Overnight,Add ons,53.02,198.27
48,1042,65,Female,No,Smartwatch,SKU1003,3,Completed,Cash,5913.81,844.83,7,2024-07-16,Overnight,Add ons,111.25,6025.06
49,1043,76,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,207.5,20.75,10,2024-03-05,Overnight,No Add ons,0.0,207.5
50,1047,73,Male,No,Tablet,SKU1002,3,Completed,Debit Card,2470.3,247.03,10,2023-12-11,Express,Add ons,63.23,2533.53
51,1048,67,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,2470.3,247.03,10,2023-10-28,Express,No Add ons,0.0,2470.3
52,1049,50,Female,No,Smartphone,SKU1001,5,Completed,PayPal,145.25,20.75,7,2024-06-25,Standard,Add ons,86.36,231.61
53,1052,72,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,5068.98,844.83,6,2024-08-03,Standard,Add ons,45.46,5114.44
54,1053,79,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2023-12-20,Standard,Add ons,88.3,4263.9400000000005
55,1054,30,Female,Yes,Smartphone,SKU1001,5,Completed,PayPal,62.25,20.75,3,2024-05-08,Standard,Add ons,79.9,142.15
56,1056,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2024-04-27,Overnight,Add ons,41.24,1897.08
57,1057,71,Female,No,Smartwatch,SKU1003,3,Cancelled,PayPal,7603.47,844.83,9,2023-10-22,Express,No Add ons,0.0,7603.47
58,1057,71,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,1482.18,247.03,6,2024-03-28,Express,Add ons,116.77,1598.95
59,1058,21,Female,No,Smartphone,SKU1001,5,Completed,PayPal,166.0,20.75,8,2024-06-12,Overnight,Add ons,92.57,258.57
60,1058,21,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,3955.95,791.19,5,2024-07-08,Express,No Add ons,0.0,3955.95
61,1059,37,Male,No,Laptop,SKU1005,3,Completed,PayPal,3247.72,463.96,7,2024-02-22,Overnight,Add ons,66.17,3313.89
62,1059,37,Male,No,Laptop,SKU1005,3,Completed,Debit Card,463.96,463.96,1,2024-06-27,Express,Add ons,5.52,469.47999999999996
63,1060,72,Male,Yes,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-09-28,Standard,Add ons,52.01,1907.85
64,1060,72,Male,Yes,Tablet,SKU1002,3,Completed,PayPal,1482.18,247.03,6,2023-12-07,Overnight,Add ons,31.89,1514.0700000000002
65,1060,72,Male,No,Smartphone,SKU1004,2,Completed,PayPal,1582.38,791.19,2,2024-01-29,Overnight,Add ons,49.59,1631.97
66,1061,56,Male,Yes,Tablet,SKU1002,3,Completed,Cash,1976.24,247.03,8,2023-10-25,Standard,Add ons,14.49,1990.73
67,1061,56,Male,No,Laptop,SKU1005,3,Completed,PayPal,463.96,463.96,1,2024-05-21,Express,Add ons,83.41,547.37
68,1062,62,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,6329.52,791.19,8,2024-03-23,Standard,Add ons,26.24,6355.76
69,1063,64,Male,Yes,Laptop,SKU1005,3,Completed,PayPal,1855.84,463.96,4,2024-04-25,Standard,No Add ons,0.0,1855.84
70,1063,64,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,2373.57,791.19,3,2024-07-08,Express,Add ons,6.47,2380.04
71,1066,44,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,2373.57,791.19,3,2024-02-28,Standard,Add ons,43.16,2416.73
72,1066,44,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,2373.57,791.19,3,2024-07-13,Overnight,Add ons,40.68,2414.25
73,1067,49,Male,No,Tablet,SKU1002,3,Cancelled,PayPal,1729.21,247.03,7,2023-10-17,Standard,No Add ons,0.0,1729.21
74,1067,49,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,2023-12-30,Standard,Add ons,81.55,1771.21
75,1069,27,Male,No,Smartphone,SKU1001,5,Completed,Cash,145.25,20.75,7,2024-05-21,Standard,Add ons,96.61,241.86
76,1070,30,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,62.25,20.75,3,2023-11-29,Standard,Add ons,6.3,68.55
77,1071,54,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,7603.47,844.83,9,2024-06-17,Overnight,No Add ons,0.0,7603.47
78,1073,46,Female,No,Tablet,SKU1002,3,Completed,Cash,2223.27,247.03,9,2024-07-11,Standard,Add ons,8.66,2231.93
79,1073,46,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,1976.24,247.03,8,2024-09-12,Express,Add ons,46.38,2022.6200000000001
80,1074,58,Male,No,Smartwatch,SKU1003,3,Completed,Cash,7603.47,844.83,9,2023-11-06,Standard,Add ons,58.95,7662.42
81,1077,26,Male,No,Smartphone,SKU1004,2,Completed,Cash,2373.57,791.19,3,2023-12-26,Express,Add ons,12.28,2385.8500000000004
82,1077,26,Male,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,2024-05-14,Overnight,Add ons,12.86,1495.04
83,1079,64,Male,No,Smartphone,SKU1001,5,Completed,PayPal,41.5,20.75,2,2023-10-24,Standard,Add ons,25.61,67.11
84,1079,64,Male,Yes,Smartphone,SKU1004,2,Completed,PayPal,3164.76,791.19,4,2024-09-12,Overnight,Add ons,8.16,3172.92
85,1079,64,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,2373.57,791.19,3,2024-09-15,Overnight,Add ons,101.06,2474.63
86,1080,55,Female,No,Smartphone,SKU1004,2,Cancelled,PayPal,3164.76,791.19,4,2024-01-03,Standard,No Add ons,0.0,3164.76
87,1080,55,Female,No,Tablet,SKU1002,3,Completed,Credit Card,247.03,247.03,1,2024-08-18,Express,Add ons,16.65,263.68
88,1083,24,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,2024-07-29,Overnight,No Add ons,0.0,3379.32
89,1085,74,Male,No,Smartphone,SKU1001,5,Completed,Cash,20.75,20.75,1,2023-10-11,Express,Add ons,91.36,112.11
90,1085,74,Male,No,Tablet,SKU1002,3,Completed,Cash,741.09,247.03,3,2024-05-02,Overnight,Add ons,10.04,751.13
91,1086,76,Male,No,Smartphone,SKU1001,5,Completed,PayPal,166.0,20.75,8,2024-07-01,Overnight,Add ons,25.72,191.72
92,1089,45,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,2024-08-09,Express,No Add ons,0.0,3955.95
93,1090,31,Male,No,Tablet,SKU1002,3,Cancelled,Debit Card,741.09,247.03,3,2024-05-04,Express,Add ons,22.88,763.97
94,1091,22,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,1689.66,844.83,2,2024-03-22,Express,Add ons,14.52,1704.18
95,1093,56,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,7120.71,791.19,9,2024-04-27,Express,Add ons,29.11,7149.82
96,1094,65,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,20.75,20.75,1,2024-05-07,Overnight,No Add ons,0.0,20.75
97,1096,20,Female,Yes,Smartphone,SKU1001,5,Completed,PayPal,41.5,20.75,2,2023-12-13,Standard,Add ons,27.89,69.39
98,1096,20,Female,No,Laptop,SKU1005,3,Completed,Cash,4639.6,463.96,10,2024-05-15,Overnight,Add ons,85.32,4724.92
99,1097,19,Male,No,Tablet,SKU1002,3,Completed,PayPal,988.12,247.03,4,2024-03-25,Express,Add ons,51.12,1039.24
100,1099,68,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,1582.38,791.19,2,2023-10-09,Standard,Add ons,100.12,1682.5
101,1099,68,Female,No,Laptop,SKU1005,3,Cancelled,PayPal,1391.88,463.96,3,2024-05-31,Overnight,No Add ons,0.0,1391.88
102,1100,63,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,741.09,247.03,3,2024-02-29,Express,Add ons,35.79,776.88
103,1145,75,Female,No,Smartphone,SKU1001,5,Completed,PayPal,62.25,20.75,3,2024-05-23,Express,Add ons,23.28,85.53
104,1100,63,Female,Yes,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,2024-05-19,Overnight,Add ons,48.78,3428.1000000000004
105,1101,33,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,207.5,20.75,10,2023-10-09,Standard,Add ons,88.38,295.88
106,1101,33,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,791.19,791.19,1,2023-10-25,Overnight,Add ons,32.35,823.5400000000001
107,1101,33,Female,No,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-23,Overnight,Add ons,125.35,166.85
108,1101,33,Female,No,Smartphone,SKU1001,5,Completed,PayPal,62.25,20.75,3,2024-07-23,Express,Add ons,77.61,139.86
109,1102,55,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,166.0,20.75,8,2024-08-06,Express,No Add ons,0.0,166.0
110,1105,42,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1482.18,247.03,6,2024-09-20,Overnight,Add ons,102.0,1584.18
111,1109,37,Female,No,Laptop,SKU1005,3,Cancelled,Debit Card,1855.84,463.96,4,2024-03-25,Overnight,Add ons,104.93,1960.77
112,1109,37,Female,Yes,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,2024-07-13,Overnight,Add ons,42.66,229.41
113,1110,76,Male,No,Smartphone,SKU1001,5,Completed,Credit Card,207.5,20.75,10,2024-07-11,Express,No Add ons,0.0,207.5
114,1112,58,Female,No,Tablet,SKU1002,3,Completed,PayPal,2223.27,247.03,9,2024-02-15,Overnight,Add ons,63.79,2287.06
115,1112,58,Female,No,Tablet,SKU1002,3,Completed,PayPal,2223.27,247.03,9,2024-06-19,Express,Add ons,48.57,2271.84
116,1114,25,Female,No,Smartphone,SKU1004,2,Completed,PayPal,4747.14,791.19,6,2024-01-31,Overnight,Add ons,71.97,4819.110000000001
117,1115,31,Female,No,Smartphone,SKU1004,2,Cancelled,Cash,791.19,791.19,1,2023-12-30,Overnight,Add ons,53.95,845.1400000000001
118,1115,31,Female,Yes,Smartwatch,SKU1003,3,Completed,PayPal,844.83,844.83,1,2024-06-04,Overnight,No Add ons,0.0,844.83
119,1115,31,Female,No,Tablet,SKU1002,3,Completed,Debit Card,247.03,247.03,1,2024-09-10,Standard,No Add ons,0.0,247.03
120,1116,55,Female,No,Laptop,SKU1005,3,Cancelled,PayPal,4175.64,463.96,9,2024-01-10,Overnight,Add ons,15.85,4191.490000000001
121,1116,55,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-05-20,Express,No Add ons,0.0,4175.64
122,1117,34,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,2024-03-06,Overnight,Add ons,48.25,1737.91
123,1119,24,Male,No,Tablet,SKU1002,3,Completed,Credit Card,1482.18,247.03,6,2024-01-12,Standard,Add ons,65.34,1547.52
124,1120,40,Female,Yes,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,2023-12-13,Express,Add ons,48.52,235.27
125,1120,40,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,103.75,20.75,5,2024-02-25,Express,No Add ons,0.0,103.75
126,1122,69,Male,Yes,Smartphone,SKU1004,2,Cancelled,PayPal,5538.33,791.19,7,2024-09-15,Express,No Add ons,0.0,5538.33
127,1123,79,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,6758.64,844.83,8,2024-04-09,Overnight,Add ons,54.15,6812.79
128,1123,79,Male,Yes,Smartphone,SKU1004,2,Completed,Debit Card,791.19,791.19,1,2024-08-12,Standard,Add ons,5.86,797.0500000000001
129,1124,24,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2024-02-12,Overnight,No Add ons,0.0,1855.84
130,1124,24,Female,Yes,Laptop,SKU1005,3,Completed,Debit Card,3711.68,463.96,8,2024-02-26,Standard,Add ons,85.04,3796.72
131,1124,24,Female,No,Smartphone,SKU1004,2,Completed,PayPal,3164.76,791.19,4,2024-09-05,Overnight,Add ons,104.82,3269.5800000000004
132,1125,46,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,2024-01-08,Express,No Add ons,0.0,5913.81
133,1125,46,Male,No,Laptop,SKU1005,3,Completed,Cash,3711.68,463.96,8,2024-08-24,Standard,Add ons,67.21,3778.89
134,1127,80,Male,No,Smartwatch,SKU1003,3,Completed,PayPal,6758.64,844.83,8,2023-12-06,Express,Add ons,65.02,6823.660000000001
135,1127,80,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,166.0,20.75,8,2024-03-22,Express,Add ons,63.03,229.03
136,1129,36,Female,Yes,Smartphone,SKU1001,5,Cancelled,Cash,20.75,20.75,1,2023-12-09,Overnight,No Add ons,0.0,20.75
137,1130,75,Female,Yes,Smartphone,SKU1004,2,Completed,Debit Card,4747.14,791.19,6,2023-11-04,Express,Add ons,46.92,4794.06
138,1132,18,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,124.5,20.75,6,2024-05-02,Standard,Add ons,48.93,173.43
139,1133,25,Male,No,Laptop,SKU1005,3,Completed,Cash,1391.88,463.96,3,2024-03-27,Express,Add ons,39.14,1431.0200000000002
140,1133,25,Male,Yes,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,2024-07-06,Standard,Add ons,81.34,6839.9800000000005
141,1134,23,Male,Yes,Smartphone,SKU1004,2,Completed,PayPal,6329.52,791.19,8,2023-12-01,Express,Add ons,68.66,6398.18
142,1134,23,Male,No,Laptop,SKU1005,3,Completed,Debit Card,927.92,463.96,2,2023-12-22,Overnight,Add ons,43.76,971.68
143,1134,23,Male,No,Laptop,SKU1005,3,Cancelled,Debit Card,3711.68,463.96,8,2024-06-10,Express,Add ons,102.64,3814.3199999999997
144,1134,23,Male,No,Smartphone,SKU1004,2,Completed,PayPal,7120.71,791.19,9,2024-07-22,Standard,No Add ons,0.0,7120.71
145,1136,20,Female,No,Smartwatch,SKU1003,3,Completed,Credit Card,844.83,844.83,1,2023-12-14,Overnight,Add ons,41.06,885.8900000000001
146,1139,56,Female,No,Smartphone,SKU1004,2,Cancelled,Debit Card,6329.52,791.19,8,2024-09-21,Overnight,Add ons,46.71,6376.2300000000005
147,1141,61,Male,No,Smartphone,SKU1001,5,Completed,PayPal,20.75,20.75,1,2023-12-02,Express,Add ons,11.92,32.67
148,1141,61,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1391.88,463.96,3,2023-12-30,Standard,Add ons,42.12,1434.0
149,1141,61,Male,No,Laptop,SKU1005,3,Completed,Debit Card,3711.68,463.96,8,2024-04-14,Standard,Add ons,60.23,3771.91
150,1142,63,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2023-10-26,Standard,Add ons,33.15,4208.79
151,1143,27,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-12-06,Express,No Add ons,0.0,3379.32
152,1144,42,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,844.83,844.83,1,2024-02-26,Overnight,Add ons,89.92,934.75
153,1145,75,Female,No,Smartphone,SKU1001,5,Completed,Cash,83.0,20.75,4,2024-01-19,Overnight,Add ons,16.42,99.42
154,1683,36,Male,Yes,Laptop,SKU1005,3,Completed,Cash,463.96,463.96,1,2024-03-23,Express,No Add ons,0.0,463.96
155,1145,75,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,5068.98,844.83,6,2024-09-13,Express,Add ons,12.0,5080.98
156,1147,24,Male,Yes,Smartwatch,SKU1003,3,Completed,Cash,8448.3,844.83,10,2024-07-19,Overnight,Add ons,85.51,8533.81
157,1148,77,Female,Yes,Tablet,SKU1002,3,Completed,Cash,2470.3,247.03,10,2024-03-05,Standard,No Add ons,0.0,2470.3
158,1148,77,Female,No,Laptop,SKU1005,3,Cancelled,Credit Card,927.92,463.96,2,2024-03-14,Standard,No Add ons,0.0,927.92
159,1148,77,Female,No,Smartphone,SKU1004,2,Completed,PayPal,3955.95,791.19,5,2024-08-17,Standard,Add ons,102.68,4058.6299999999997
160,1149,60,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,3379.32,844.83,4,2023-10-30,Overnight,Add ons,46.83,3426.15
161,1149,60,Male,No,Smartphone,SKU1001,5,Cancelled,PayPal,103.75,20.75,5,2024-07-06,Express,Add ons,35.49,139.24
162,1149,60,Male,Yes,Smartphone,SKU1001,5,Completed,Credit Card,83.0,20.75,4,2024-08-11,Express,Add ons,90.09,173.09
163,1150,21,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,2024-03-16,Express,Add ons,35.65,5573.98
164,1151,19,Female,No,Tablet,SKU1002,3,Completed,PayPal,1235.15,247.03,5,2024-04-10,Express,Add ons,76.73,1311.88
165,1151,19,Female,No,Smartphone,SKU1001,5,Cancelled,Cash,166.0,20.75,8,2024-07-18,Express,No Add ons,0.0,166.0
166,1152,45,Female,No,Smartphone,SKU1001,5,Completed,Cash,124.5,20.75,6,2024-02-10,Express,Add ons,66.83,191.32999999999998
167,1154,70,Female,No,Laptop,SKU1005,3,Completed,Credit Card,463.96,463.96,1,2024-09-09,Overnight,No Add ons,0.0,463.96
168,1155,29,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,2024-03-17,Express,Add ons,72.69,5986.5
169,1155,29,Male,No,Smartphone,SKU1004,2,Completed,Cash,3955.95,791.19,5,2024-05-22,Express,Add ons,14.41,3970.3599999999997
170,1160,22,Female,Yes,Smartphone,SKU1001,5,Cancelled,Debit Card,83.0,20.75,4,2024-09-04,Express,Add ons,57.28,140.28
171,1162,20,Male,No,Smartwatch,SKU1003,3,Cancelled,PayPal,3379.32,844.83,4,2024-08-02,Overnight,Add ons,57.06,3436.38
172,1167,66,Female,Yes,Smartphone,SKU1001,5,Completed,PayPal,124.5,20.75,6,2023-12-05,Express,Add ons,61.43,185.93
173,1168,54,Female,No,Laptop,SKU1005,3,Cancelled,PayPal,1391.88,463.96,3,2023-10-27,Overnight,No Add ons,0.0,1391.88
174,1169,57,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2023-10-03,Overnight,No Add ons,0.0,5538.33
175,1169,57,Female,Yes,Laptop,SKU1005,3,Cancelled,Credit Card,2783.76,463.96,6,2024-05-23,Overnight,Add ons,54.39,2838.15
176,1170,54,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,5538.33,791.19,7,2024-04-01,Overnight,Add ons,76.57,5614.9
177,1171,50,Male,Yes,Laptop,SKU1005,3,Completed,Debit Card,3247.72,463.96,7,2023-10-08,Standard,Add ons,97.1,3344.8199999999997
178,1171,50,Male,No,Laptop,SKU1005,3,Completed,Credit Card,4175.64,463.96,9,2023-12-15,Overnight,Add ons,52.57,4228.21
179,1171,50,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,2024-08-06,Standard,Add ons,89.46,1077.58
180,1171,50,Male,No,Tablet,SKU1002,3,Completed,PayPal,741.09,247.03,3,2024-09-07,Overnight,No Add ons,0.0,741.09
181,1174,29,Male,Yes,Smartphone,SKU1001,5,Cancelled,Cash,62.25,20.75,3,2024-02-11,Overnight,Add ons,11.75,74.0
182,1174,29,Male,No,Tablet,SKU1002,3,Cancelled,Credit Card,988.12,247.03,4,2024-08-13,Standard,Add ons,95.57,1083.69
183,1175,62,Male,No,Smartwatch,SKU1003,3,Cancelled,PayPal,844.83,844.83,1,2023-11-05,Standard,No Add ons,0.0,844.83
184,1175,62,Male,No,Laptop,SKU1005,3,Completed,Credit Card,3247.72,463.96,7,2024-09-17,Express,Add ons,108.15,3355.87
185,1177,49,Female,No,Laptop,SKU1005,3,Completed,PayPal,2783.76,463.96,6,2024-05-30,Overnight,Add ons,69.0,2852.76
186,1178,19,Female,No,Tablet,SKU1002,3,Cancelled,Credit Card,247.03,247.03,1,2024-04-23,Overnight,Add ons,45.32,292.35
187,1180,41,Female,No,Smartwatch,SKU1003,3,Completed,PayPal,7603.47,844.83,9,2024-03-15,Express,No Add ons,0.0,7603.47
188,1181,50,Male,No,Smartphone,SKU1004,2,Completed,PayPal,3955.95,791.19,5,2024-08-04,Standard,Add ons,35.87,3991.8199999999997
189,1182,78,Male,Yes,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,2023-11-15,Standard,Add ons,37.96,3993.91
190,1182,78,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,7911.9,791.19,10,2023-11-17,Overnight,Add ons,16.81,7928.71
191,1183,80,Male,No,Laptop,SKU1005,3,Cancelled,Credit Card,463.96,463.96,1,2023-09-29,Standard,Add ons,133.13,597.0899999999999
